Date,CPI,E INFL,GDP growth,retail food services,PPI,Risk Premium,QE,Real interest rate,unemployment,oil,Open,High,Low,Close,Volume,M2NS
2014-02-01,1.126349,1.5858281,-0.09109702085806237,425006,1.4,1.2523933,4134488.75,0.50867731,6.7,108.9,1782.68,1867.92,1737.92,1859.45,38736438890.0,11153.4
2014-03-01,1.512203,1.2194617,4.581245682031881,429468,3.0,1.2399027,4200543.75,0.58045318,6.7,107.48,1857.68,1883.97,1834.44,1872.34,39936127779.0,11278.4
2014-04-01,1.952858,1.653011,5.923702065326145,433648,4.8,1.2713635,4271396.8,0.7022221,6.2,107.76,1873.96,1897.28,1814.36,1883.95,39775450001.0,11331.6
2014-05-01,2.127111,1.76839,6.548388267179556,434471,3.9,1.2451624,4322501.5,0.62685415,6.3,109.54,1884.39,1924.03,1859.79,1923.57,35346461112.0,11274.8
2014-06-01,2.072341,1.5265458,6.0033015066721145,435577,4.0,1.2307904,4352084.25,0.62452944,6.1,111.8,1923.87,1968.17,1915.98,1960.23,35157433333.0,11336.8
2014-07-01,1.992329,1.8594911,5.296033907738449,436347,3.6,1.2255665,4395203.2,0.59099495,6.2,106.77,1962.29,1991.39,1930.67,1930.67,36958161110.0,11391.8
2014-08-01,1.699611,1.8065541,2.8050134866090293,439596,2.8,1.2286231,4417173.5,0.6494057,6.1,101.61,1929.8,2005.04,1904.78,2003.37,32295077776.0,11422.7
2014-09-01,1.657919,2.1150395,1.6416409780719619,438665,2.5,1.2179332,4436408.25,0.58085993,5.9,97.09,2004.07,2019.26,1964.04,1972.29,37058888889.0,11470.6
2014-10-01,1.66434,1.6022445,0.6733236806226355,440261,0.9,1.2299821,4469678.6,0.7009647,5.7,87.43,1971.44,2018.19,1820.66,2018.05,52063355557.0,11538.6
2014-11-01,1.322355,1.321155,2.130907593257836,441328,-0.3,1.2211969,4488542.5,0.71330026,5.8,79.44,2018.21,2075.76,2001.01,2067.56,35333438888.0,11615.0
2014-12-01,0.7564933,2.1860996,3.753526662335579,438686,-5.0,1.1374824,4496884.8,0.38472537,5.6,62.34,2065.78,2093.55,1972.56,2058.9,44857677778.0,11760.0
2015-01-01,-0.08934832,0.91604112,3.166286262610008,436395,-11.8,1.2003966,4507150.25,0.7099428,5.7,47.76,2058.9,2072.36,1988.12,1994.99,42961133334.0,11759.0
2015-02-01,-0.0251298,0.38334206,3.0205467316898775,435744,-14.6,1.169366,4496402.25,0.53838038,5.5,58.1,1996.67,2119.59,1980.9,2104.5,38208644446.0,11847.1
2015-03-01,-0.07363739,0.79843856,3.980512218890005,442131,-15.5,1.2316641,4488338.25,0.75170542,5.4,55.89,2105.23,2117.52,2039.69,2067.89,42597694444.0,11956.7
2015-04-01,-0.1995174,1.5899931,2.0682516992389215,443119,-17.4,1.1847672,4482355.6,0.41032252,5.4,59.52,2067.63,2125.92,2048.38,2085.51,40033855554.0,12004.7
2015-05-01,-0.03993275,1.7028274,1.0964529929412266,446198,-14.6,1.2105168,4479564.0,0.53392144,5.6,64.08,2087.38,2134.72,2067.93,2107.39,36215405555.0,11907.9
