Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1985-07-14,192.47,193.32,190.81,193.29,296683332
1985-07-21,193.29,196.07,192.55,195.13,356944444
1985-07-28,195.13,195.13,190.66,192.4,331133333
1985-08-04,192.4,192.42,189.3,191.48,295455555
1985-08-11,191.48,191.48,187.39,188.32,260144446
1985-08-18,188.32,188.32,186.1,186.1,231905556
1985-08-25,186.1,189.23,186.1,187.17,233283333
1985-09-01,187.17,189.13,186.46,188.63,226799999
1985-09-08,188.63,188.63,186.89,188.24,197900001
1985-09-15,188.24,188.8,182.05,182.91,285250001
1985-09-22,182.91,183.99,180.78,182.05,270000000
1985-09-29,182.05,184.65,179.45,181.29,222716666
1985-10-06,181.3,185.94,181.22,183.22,338777777
1985-10-13,183.22,184.28,181.16,184.28,266188889
1985-10-20,184.31,188.52,184.28,187.04,307744444
1985-10-27,187.04,189.45,186.79,187.52,307544445
1985-11-03,187.52,191.53,186.93,191.53,322100000
1985-11-10,191.45,193.97,190.66,193.72,326444444
1985-11-17,193.72,199.58,193.7,198.11,367833333
1985-11-24,198.11,202.01,197.51,201.52,346500000
1985-12-01,201.52,203.4,200.08,202.17,245872222
1985-12-08,202.17,205.86,200.1,202.99,373833333
1985-12-15,202.99,210.31,202.98,209.94,459666666
1985-12-22,209.94,213.08,209.24,210.94,427555555
1985-12-29,210.57,210.94,206.44,209.61,183227777
1986-01-05,209.61,211.61,208.93,210.88,227016666
1986-01-12,210.88,214.57,204.51,205.96,406783334
1986-01-19,205.96,209.4,205.52,208.43,337555556
1986-01-26,208.43,208.43,202.6,206.43,335577778
1986-02-02,206.43,212.42,206.43,211.78,406222222
1986-02-09,211.78,215.27,210.82,214.56,414333333
1986-02-16,214.56,219.76,214.47,219.76,388722222
1986-02-23,219.76,224.62,219.22,224.62,349722222
1986-03-02,224.58,227.92,222.63,226.92,457833333
1986-03-09,226.92,227.33,222.18,225.57,441111111
1986-03-16,225.57,236.55,225.36,236.55,489388890
1986-03-23,236.55,237.35,233.29,233.34,434777777
1986-03-30,233.34,240.11,232.92,238.97,345944444
1986-04-06,238.97,239.86,228.32,228.69,412555555
1986-04-13,228.69,237.85,226.3,235.97,420333333
1986-04-20,235.97,243.47,235.43,242.38,399555556
1986-04-27,242.38,245.47,240.08,242.29,409000000
1986-05-04,242.29,243.57,234.15,234.79,385000000
1986-05-11,234.79,238.28,233.98,237.85,348277778
1986-05-18,237.85,238.53,232.26,232.76,345444445
1986-05-25,232.76,242.16,232.41,241.35,328355556
1986-06-01,241.35,249.19,241.35,247.35,315388889
1986-06-08,246.04,247.74,242.59,245.67,318944444
1986-06-15,245.67,245.91,238.23,245.73,347777777
1986-06-22,245.73,247.6,242.57,247.58,350166667
1986-06-29,247.58,250.13,244.45,249.6,380055556
1986-07-06,249.6,253.2,249.6,251.79,300611112
1986-07-13,251.79,251.81,239.07,242.22,403277778
1986-07-20,242.22,242.22,233.6,236.36,416722222
1986-07-27,236.36,240.36,235.53,240.22,358222222
1986-08-03,240.2,240.25,233.07,234.91,343333333
1986-08-10,234.91,238.31,231.92,236.88,355166667
1986-08-17,236.88,247.15,236.87,247.15,367222223
1986-08-24,247.15,250.61,245.48,250.19,351111111
1986-08-31,250.19,254.24,247.76,252.93,363722222
1986-09-07,252.93,254.13,247.59,250.47,366555555
1986-09-14,250.47,250.47,228.74,230.67,505111111
1986-09-21,230.67,233.81,228.32,232.21,396611110
1986-09-28,232.2,237.06,230.64,232.23,357166668
1986-10-05,232.23,236.16,228.08,233.71,355722223
1986-10-12,233.71,238.2,233.17,235.48,340861111
1986-10-19,235.52,240.18,234.37,238.84,331716667
1986-10-26,238.84,239.76,234.78,238.26,345222222
1986-11-02,238.22,244.51,236.72,243.98,436055556
1986-11-09,243.97,247.05,243.93,245.77,440111112
1986-11-16,245.75,247.67,241.96,244.5,409444444
1986-11-23,244.5,246.38,235.51,245.86,478166666
1986-11-30,245.86,249.22,245.21,249.22,306072222
1986-12-07,249.22,254.87,245.72,251.17,478333334
1986-12-14,251.16,252.36,247.02,247.35,383333333
1986-12-21,247.31,250.04,244.92,249.73,474499999
1986-12-28,249.73,249.73,245.85,246.92,272538889
1987-01-04,246.9,246.92,241.28,246.45,253933332
1987-01-11,246.45,259.2,246.45,258.73,527555557
1987-01-18,258.72,267.24,257.92,266.28,578222221
1987-01-25,266.26,280.96,264,270.1,590499999
1987-02-01,270.1,276.85,267.73,274.08,497611112
1987-02-08,274.08,282.26,273.16,280.04,577055557
1987-02-15,280.04,280.91,273.49,279.7,482666666
1987-02-22,279.7,287.55,279.7,285.48,424055555
1987-03-01,285.48,285.5,279.37,284.2,452500000
1987-03-08,284.17,291.24,282.3,290.66,495166667
1987-03-15,290.66,292.51,287.12,289.89,473611110
1987-03-22,289.88,298.17,286.64,298.17,505777778
1987-03-29,298.16,302.72,296.06,296.13,517055556
1987-04-05,296.1,301.3,286.69,300.41,532888889
1987-04-12,300.46,303.65,290.94,292.49,494277779
1987-04-19,292.48,293.36,275.67,286.91,464055556
1987-04-26,286.91,293.46,281.18,281.52,482333334
1987-05-03,281.52,290.08,276.22,288.03,510888888
1987-05-10,288.02,296.8,286.39,293.37,503666666
1987-05-17,293.37,298.69,287.11,287.43,479333333
1987-05-24,287.43,287.43,277.01,282.16,476111111
1987-05-31,282.16,292.87,282.16,290.1,350666666
1987-06-07,290.12,295.11,286.93,293.45,409055554
1987-06-14,293.46,302.26,291.55,301.62,451111112
1987-06-21,301.62,306.97,301.62,306.97,493611112
1987-06-28,306.98,310.27,306.32,307.16,472333333
1987-07-05,307.15,308.15,302.53,305.63,344388889
1987-07-12,305.64,309.56,304.23,308.37,517055556
1987-07-19,308.41,314.59,305.49,314.59,534222223
1987-07-26,314.56,314.59,306.1,309.27,473055556
1987-08-02,309.3,318.85,308.61,318.66,505944445
1987-08-09,318.62,324.15,314.51,323,539833334
1987-08-16,322.98,336.08,322.95,333.99,619055555
1987-08-23,333.98,336.37,326.43,335.9,517555555
1987-08-30,335.89,337.89,327.03,327.04,488333333
1987-09-06,327.03,332.18,316.53,316.7,474166667
1987-09-13,316.68,322.45,308.56,321.98,425333333
1987-09-20,322.02,323.81,313.45,314.86,458388889
1987-09-27,314.92,322.01,308.69,320.16,500055556
1987-10-04,320.16,328.94,320.16,328.07,515000000
1987-10-11,328.07,328.57,310.97,311.07,488111111
1987-10-18,311.07,314.53,281.52,282.7,624388889
1987-10-25,282.7,282.7,216.46,248.22,1277666666
1987-11-01,248.2,254.04,226.26,251.79,783277779
1987-11-08,251.73,257.21,242.78,250.41,589216668
1987-11-15,250.41,250.41,237.64,245.64,485583333
1987-11-22,245.69,249.54,235.89,242,453977778
1987-11-29,242,247.9,240.34,240.34,316011111
1987-12-06,240.27,240.34,221.24,223.92,531461111
1987-12-13,223.98,240.09,223.92,235.32,525577778
1987-12-20,235.3,249.18,235.04,249.16,591372223
1987-12-27,249.14,253.35,247.01,252.03,370194444
1988-01-03,252.01,252.02,244.19,247.08,312316667
1988-01-10,247.1,261.78,242.95,243.4,518733333
1988-01-17,243.38,253.65,240.46,252.05,454022222
1988-01-24,252.05,253.33,240.17,246.5,430800000
1988-01-31,246.53,257.07,246.5,257.07,537944445
1988-02-07,257.05,258.27,250.34,250.96,533694445
1988-02-14,250.95,258.86,247.82,257.63,498405555
1988-02-21,257.61,261.61,256.57,261.61,357744445
1988-02-28,261.6,267.75,260.88,262.46,530816667
1988-03-06,262.46,268.75,262.46,267.3,577994445
1988-03-13,267.28,270.76,261.27,264.94,554911111
1988-03-20,264.93,272.64,264.52,271.12,486844444
1988-03-27,271.1,271.12,258.12,258.51,436822222
1988-04-03,258.5,261.59,256.07,258.89,326216667
1988-04-10,258.89,270.22,255.68,269.43,474683333
1988-04-17,269.43,272.05,255.97,259.77,513255555
1988-04-24,259.75,262.38,254.71,260.14,430616666
1988-05-01,260.15,265.09,259.97,261.33,392977777
1988-05-08,261.36,263.7,257.03,257.48,419794445
1988-05-15,257.47,258.3,252.32,256.78,425200000
1988-05-22,256.75,260.2,248.85,253.02,435577778
1988-05-29,253,255.34,249.82,253.42,377072223
1988-06-05,253.44,267.43,253.42,266.45,480727777
1988-06-12,266.46,273.21,264.5,271.26,567816667
1988-06-19,271.28,276.14,268.09,270.68,560105556
1988-06-26,270.67,276.88,267.52,273.78,474983333
1988-07-03,273.78,273.8,268.85,271.78,578950000
1988-07-10,271.78,276.36,269.31,270.02,363105555
1988-07-17,270.03,272.06,266.12,272.05,486666667
1988-07-24,271.99,272.05,263.29,263.5,417027777
1988-07-31,263.49,272.02,262.48,272.02,455500000
1988-08-07,272.03,274.2,270.08,271.15,432811112
1988-08-14,271.13,272.47,260.34,262.55,500233334
1988-08-21,262.49,262.76,257.5,260.24,401688889
1988-08-28,260.24,261.13,256.53,259.68,325816667
1988-09-04,259.68,264.9,256.98,264.48,356894445
1988-09-11,264.42,268.26,263.66,266.84,307088889
1988-09-18,266.85,270.81,265.22,270.65,459394444
1988-09-25,270.64,270.65,267.41,269.76,389533334
1988-10-02,269.77,274.87,267.77,271.91,374827778
1988-10-09,271.89,278.07,268.84,278.07,462905555
1988-10-16,278.06,278.69,273.05,275.5,408427778
1988-10-23,275.48,283.66,274.41,283.66,473961111
1988-10-30,283.63,283.95,276,278.53,472316667
1988-11-06,278.54,280.37,276.31,276.31,418094445
1988-11-13,276.3,276.31,267.92,267.92,385050000
1988-11-20,267.93,269.25,262.85,266.47,377988889
1988-11-27,266.35,269.56,263.41,267.23,239738890
1988-12-04,267.22,274.36,266.97,271.81,368166667
